Data Size,Average,Standard Deviation
7510,10.86614839,12.55001931
7511,10.86824845,12.54957171
7512,10.86558026,12.54732383
7513,10.86523517,12.54670474
7514,10.85989747,12.54301205
7515,10.86512798,12.54448738
7516,10.86741333,12.54465477
7517,10.86077592,12.54102077
7518,10.86350338,12.54067543
7519,10.86929631,12.54086434
7520,10.86848595,12.53854094
7521,10.86542085,12.53613413
7522,10.86601772,12.54003628
7523,10.86575081,12.53644045
7524,10.86573884,12.53802444
7525,10.86402344,12.53515426
7526,10.86517914,12.52850204
7527,10.86464157,12.52867903
7528,10.86443083,12.53198116
7529,10.86385471,12.53011146
7530,10.86643496,12.53172366
7531,10.8684994,12.52733687
7532,10.87397204,12.52872637
7533,10.86862459,12.52817211
7534,10.86532635,12.52650393
7535,10.86806924,12.52579633
7536,10.86851226,12.52235206
7537,10.86932484,12.52318445
7538,10.87101372,12.52045366
7539,10.86942853,12.51711944
7540,10.87168417,12.51951567
7541,10.86999665,12.51919824
7542,10.86944907,12.51760988
7543,10.86866182,12.51343837
7544,10.86926901,12.51733041
7545,10.86960331,12.514927
7546,10.87136284,12.51285667
7547,10.86596027,12.50674762
7548,10.86714706,12.50834621
7549,10.86636176,12.51031832
7550,10.86665057,12.50952321
7551,10.8717097,12.50241907
7552,10.87257137,12.50331223
7553,10.87328277,12.49871333
7554,10.87563765,12.49984784
7555,10.87303472,12.49890916
7556,10.86942675,12.50170142
7557,10.86911672,12.49829631
7558,10.87069417,12.50026429
7559,10.87017397,12.49580327
7560,10.86957129,12.49788567
7561,10.87220591,12.49483064
7562,10.87580677,12.49107861
7563,10.87283126,12.49178887
7564,10.87142287,12.49153176
7565,10.8741334,12.49150112
7566,10.87060024,12.49275433
7567,10.8740037,12.4887322
7568,10.87902398,12.48820509
7569,10.87395214,12.48633845
7570,10.86904646,12.48964917
7571,10.87758198,12.48741691
7572,10.86907556,12.48484671
7573,10.87409493,12.48154144
7574,10.87767164,12.48416116
7575,10.87625183,12.48323924
7576,10.87730343,12.48173005
7577,10.8704088,12.47976822
7578,10.87258784,12.47873561
7579,10.87627837,12.47495794
7580,10.87491177,12.47334267
7581,10.87297416,12.47632268
7582,10.86985843,12.47543182
7583,10.87766889,12.47246024
7584,10.87608539,12.4750077
7585,10.87101838,12.4734089
7586,10.8745685,12.46685406
7587,10.87647664,12.46653189
7588,10.87561029,12.46434034
7589,10.87595111,12.46668378
7590,10.87384769,12.46239189
7591,10.87251467,12.46410199
7592,10.88070954,12.45598695
7593,10.88128414,12.4604944
7594,10.87705009,12.45772059
7595,10.87324649,12.46288343
7596,10.87676217,12.45582392
7597,10.87517656,12.45869654
7598,10.87988032,12.45234578
7599,10.87888944,12.45427648
7600,10.87706309,12.45742318
7601,10.87466674,12.45186562
7602,10.88225928,12.45141653
7603,10.8827423,12.44591533
7604,10.87940751,12.44882162
7605,10.87889767,12.44833651
7606,10.88033937,12.44434901
7607,10.8818148,12.44802854
7608,10.8791415,12.44542588
